date,tier1_organizer,tier1_type,tier1_location,tier1_registration,tier2_organizer,tier2_type,tier2_calendar_type,tier2_location,match_found,similarity_score,normalized_tier1,normalized_tier2,notes
2025-07-12 00:00:00,Vereniging Vrienden Duits Draadhaar,KNJV,PuttenSchremmersteeg 43882 SE Putten,niet meer mogelijk,Vereniging Vrienden Duits Draadhaar [email protected],SJP,Jachthondenproef,Putten Schremmersteeg 4 3882 SE Putten,YES,0.686,vereniging vrienden duits draadhaar,vereniging vrienden duits draadhaar email protected,Potential match
2025-07-12 00:00:00,Vereniging Vrienden Duits Draadhaar,KNJV,PuttenSchremmersteeg 43882 SE Putten,niet meer mogelijk,"Epagneul Vereniging Nederland i.s.m: Epagneul de Saint Usuge, Slovaakse Staande Draadharen en Duitse staande lang haren [email protected]",SJP,Jachthondenproef,Almkerk Eendenveld thv huisnummer 5 4283 HV Giessen Aanvang: 8.00,NO,0.267,vereniging vrienden duits draadhaar,epagneul vereniging nederland ism epagneul de saint usuge slovaakse staande draadharen en duitse staande lang haren email protected,Low similarity
2025-07-12 00:00:00,"Epagneul Vereniging Nederlandi.s.m: Epagneul de Saint Usuge, Slovaakse Staande Draadharen en Duitse staande lang haren",KNJV,AlmkerkEendenveld thv huisnummer 54283 HV GiessenAanvang: 8.00,niet meer mogelijk,Vereniging Vrienden Duits Draadhaar [email protected],SJP,Jachthondenproef,Putten Schremmersteeg 4 3882 SE Putten,YES,0.991,epagneul vereniging nederlandism epagneul de saint usuge slovaakse staande draadharen en duitse staande lang haren,vereniging vrienden duits draadhaar email protected,Potential match
2025-07-12 00:00:00,"Epagneul Vereniging Nederlandi.s.m: Epagneul de Saint Usuge, Slovaakse Staande Draadharen en Duitse staande lang haren",KNJV,AlmkerkEendenveld thv huisnummer 54283 HV GiessenAanvang: 8.00,niet meer mogelijk,"Epagneul Vereniging Nederland i.s.m: Epagneul de Saint Usuge, Slovaakse Staande Draadharen en Duitse staande lang haren [email protected]",SJP,Jachthondenproef,Almkerk Eendenveld thv huisnummer 5 4283 HV Giessen Aanvang: 8.00,YES,0.870,epagneul vereniging nederlandism epagneul de saint usuge slovaakse staande draadharen en duitse staande lang haren,epagneul vereniging nederland ism epagneul de saint usuge slovaakse staande draadharen en duitse staande lang haren email protected,Potential match
2025-07-18 00:00:00,Vereniging De Drentsche Patrijshondi.s.m: Nederlandse Vereniging voor Stabij- en Wetterhounen,KNJV,Landgoed Heerlijkheid Mariënwaerdt't Klooster 54153 RR Beesd,niet meer mogelijk,Vereniging De Drentsche Patrijshond i.s.m: Nederlandse Vereniging voor Stabij- en Wetterhounen [email protected],SJP,Jachthondenproef,Landgoed Heerlijkheid Mariënwaerdt 't Klooster 5 4153 RR Beesd,YES,0.840,vereniging de drentsche patrijshondism nederlandse vereniging voor stabij en wetterhounen,vereniging de drentsche patrijshond ism nederlandse vereniging voor stabij en wetterhounen email protected,Potential match
2025-07-24 00:00:00,Chesapeake Bay Retriever Club Nederland,veldwedstrijd,West Brabant,Inschrijven,Chesapeake Bay Retriever Club Nederland [email protected],Veldwedstrijd,Veldwedstrijd,West Brabant,YES,0.709,chesapeake bay retriever club nederland,chesapeake bay retriever club nederland email protected,Potential match
2025-07-26 00:00:00,"KNJV Provincie Noord-HollandStichting Jachthonden Noord-Holland, afd. Haarlemmermeer",TAP,Manege SpaarnwoudeHoutrakkerweg 621165 MX HalfwegAanvang: 08.15,niet mogelijk,"KNJV Provincie Noord-Holland Stichting Jachthonden Noord-Holland, afd. Haarlemmermeer [email protected]",TAP,Jachthondenproef,Manege Spaarnwoude Houtrakkerweg 62 1165 MX Halfweg Aanvang: 08.15,YES,0.825,knjv provincie noordhollandstichting jachthonden noordholland afd haarlemmermeer,knjv provincie noordholland stichting jachthonden noordholland afd haarlemmermeer email protected,Potential match
2025-07-28 00:00:00,Stichting Zeeuwse Jachthonden,KNJV,Sportpark VV RillandiaBatsheweg 544411 RK RillandAanvang: 07.30,niet meer mogelijk,Stichting Zeeuwse Jachthonden [email protected],SJP,Jachthondenproef,Sportpark VV Rillandia Batsheweg 54 4411 RK Rilland Aanvang: 07.30,YES,0.644,stichting zeeuwse jachthonden,stichting zeeuwse jachthonden email protected,Potential match
2025-07-28 00:00:00,Stichting Zeeuwse Jachthonden,KNJV,Sportpark VV RillandiaBatsheweg 544411 RK RillandAanvang: 07.30,niet meer mogelijk,Nederlandse Vereniging Langhaar i.s.m: NVDSK Duitse staande korthaar [email protected],SJP,Jachthondenproef,Fam Steggetman Watermolenweg 12 7481 VL Haaksbergen Aanvang: 8.00,NO,0.321,stichting zeeuwse jachthonden,nederlandse vereniging langhaar ism nvdsk duitse staande korthaar email protected,Potential match
2025-07-28 00:00:00,Nederlandse Vereniging Langhaari.s.m: NVDSK Duitse staande korthaar,KNJV,Fam SteggetmanWatermolenweg 127481 VL HaaksbergenAanvang: 8.00,Inschrijven,Stichting Zeeuwse Jachthonden [email protected],SJP,Jachthondenproef,Sportpark VV Rillandia Batsheweg 54 4411 RK Rilland Aanvang: 07.30,YES,0.938,nederlandse vereniging langhaarism nvdsk duitse staande korthaar,stichting zeeuwse jachthonden email protected,Potential match
2025-07-28 00:00:00,Nederlandse Vereniging Langhaari.s.m: NVDSK Duitse staande korthaar,KNJV,Fam SteggetmanWatermolenweg 127481 VL HaaksbergenAanvang: 8.00,Inschrijven,Nederlandse Vereniging Langhaar i.s.m: NVDSK Duitse staande korthaar [email protected],SJP,Jachthondenproef,Fam Steggetman Watermolenweg 12 7481 VL Haaksbergen Aanvang: 8.00,YES,0.790,nederlandse vereniging langhaarism nvdsk duitse staande korthaar,nederlandse vereniging langhaar ism nvdsk duitse staande korthaar email protected,Potential match
2025-08-02 00:00:00,Continentale Staande honden Vereenigingi.s.m: Jachtcommissie SUN,KNJV,Crobse Waardnabij Crob 18HaaftenAanvang: 08.00,niet meer mogelijk,Continentale Staande honden Vereeniging i.s.m: Jachtcommissie SUN [email protected],SJP,Jachthondenproef,Crobse Waard nabij Crob 18 Haaften Aanvang: 08.00,YES,0.782,continentale staande honden vereenigingism jachtcommissie sun,continentale staande honden vereeniging ism jachtcommissie sun email protected,Potential match
2025-08-09 00:00:00,Jachthondenopleiding 't Hogeland,KNJV,Bosplan BiessumDamlaan9931 TE DelfzijlAanvang: 07.30,niet meer mogelijk,Jachthondenopleiding 't Hogeland [email protected],SJP,Jachthondenproef,Bosplan Biessum Damlaan 9931 TE Delfzijl Aanvang: 07.30,YES,0.660,jachthondenopleiding t hogeland,jachthondenopleiding t hogeland email protected,Potential match
2025-08-15 00:00:00,Stichting Jachthonden Brabant West,KNJV,KlundertMolenvliet 74791 GB KlundertAanvang: 7.30,Inschrijven,Stichting Jachthonden Brabant West [email protected],SJP,Jachthondenproef,Klundert Molenvliet 7 4791 GB Klundert Aanvang: 7.30,YES,0.680,stichting jachthonden brabant west,stichting jachthonden brabant west email protected,Potential match
2025-08-16 00:00:00,Nederlandse Vereniging van Hongaarse Staande Honden 'Vizsla'i.s.m: Nederlandse Grote Münsterlander Vereniging,KNJV,Crobsche WaardCrob 18 - 204175LR HaaftenAanvang: 8:00,Inschrijven,Nederlandse Vereniging van Hongaarse Staande Honden 'Vizsla' i.s.m: Nederlandse Grote Münsterlander Vereniging [email protected],SJP,Jachthondenproef,Crobsche Waard Crob 18 - 20 4175LR Haaften Aanvang: 8:00,YES,0.860,nederlandse vereniging van hongaarse staande honden vizslaism nederlandse grote münsterlander vereniging,nederlandse vereniging van hongaarse staande honden vizsla ism nederlandse grote münsterlander vereniging email protected,Potential match
2025-08-18 00:00:00,Stichting Jachthonden Brabant West,KNJV,KlundertMolenvliet 74791 GB KlundertAanvang: 7.30,niet meer mogelijk,Stichting Jachthonden Brabant West [email protected],SJP,Jachthondenproef,Klundert Molenvliet 7 4791 GB Klundert Aanvang: 7.30,YES,0.680,stichting jachthonden brabant west,stichting jachthonden brabant west email protected,Potential match
2025-08-23 00:00:00,Nederlandse Labrador Vereniging,MAP,"Paviljoen ""de Kogeloven"" OostvoorneBrielse Maas 13233LD OostvoorneAanvang: 7.30",Inschrijven,Nederlandse Labrador Vereniging [email protected],MAP,Jachthondenproef,"Paviljoen ""de Kogeloven"" Oostvoorne Brielse Maas 1 3233LD Oostvoorne Aanvang: 7.30",YES,0.660,nederlandse labrador vereniging,nederlandse labrador vereniging email protected,Potential match
2025-08-23 00:00:00,Nederlandse Labrador Vereniging,MAP,"Paviljoen ""de Kogeloven"" OostvoorneBrielse Maas 13233LD OostvoorneAanvang: 7.30",Inschrijven,Vereniging Jachthondenopleiding Heuvelrug [email protected],SJP,Jachthondenproef,Scherpenzeel Broekerweg  7 3931 PL Woudenberg Aanvang: 8.00,YES,0.509,nederlandse labrador vereniging,vereniging jachthondenopleiding heuvelrug email protected,Potential match
2025-08-23 00:00:00,Vereniging Jachthondenopleiding Heuvelrug,KNJV,ScherpenzeelBroekerweg  73931 PL WoudenbergAanvang: 8.00,niet meer mogelijk,Nederlandse Labrador Vereniging [email protected],MAP,Jachthondenproef,"Paviljoen ""de Kogeloven"" Oostvoorne Brielse Maas 1 3233LD Oostvoorne Aanvang: 7.30",YES,0.745,vereniging jachthondenopleiding heuvelrug,nederlandse labrador vereniging email protected,Potential match
2025-08-23 00:00:00,Vereniging Jachthondenopleiding Heuvelrug,KNJV,ScherpenzeelBroekerweg  73931 PL WoudenbergAanvang: 8.00,niet meer mogelijk,Vereniging Jachthondenopleiding Heuvelrug [email protected],SJP,Jachthondenproef,Scherpenzeel Broekerweg  7 3931 PL Woudenberg Aanvang: 8.00,YES,0.719,vereniging jachthondenopleiding heuvelrug,vereniging jachthondenopleiding heuvelrug email protected,Potential match
2025-08-24 00:00:00,Jhs. St. Hubertus,KNJV,KC Delfttandhofdreef 102623 EXAanvang: 8,Inschrijven,Jhs. St. Hubertus [email protected],SJP,Jachthondenproef,KC Delft tandhofdreef 10 2623 EX Aanvang: 8,NO,0.484,jhs st hubertus,jhs st hubertus email protected,Potential match
2025-08-29 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,Wouwse Plantage,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,Wouwse Plantage,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-29 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,Wouwse Plantage,niet mogelijk,Continentale Staande honden Vereeniging [email protected],SJP,Jachthondenproef,Rilland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-29 00:00:00,Continentale Staande honden Vereeniging,KNJV,Rilland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,Wouwse Plantage,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-29 00:00:00,Continentale Staande honden Vereeniging,KNJV,Rilland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],SJP,Jachthondenproef,Rilland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.884,engelse springer club welsh springer spaniel club cocker spaniel club,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.884,engelse springer club welsh springer spaniel club cocker spaniel club,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",YES,0.802,engelse springer club welsh springer spaniel club cocker spaniel club,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,YES,0.824,engelse springer club welsh springer spaniel club cocker spaniel club,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.928,engelse springer club welsh springer spaniel club cocker spaniel club,stichting jachthondengroep uffelte email protected,Potential match
